label,area,equivalent_diameter,eccentricity,solidity,perimeter,mean_intensity
1,1921.0,49.455971989601494,0.7682001218022406,0.9453740157480315,188.62741699796953,0.8641604
2,2969.0,61.483723116925006,0.839808994406191,0.9172072907012666,238.42640687119285,0.93126756
3,8318.0,102.91164430280513,0.8978891879771396,0.8605421063521622,442.4030662740799,0.91965187
4,8712.0,105.32076202597823,0.8260960913499735,0.9035469819539514,438.7462120245875,0.8971822
5,97.0,11.11324596323283,0.9945448118105374,0.8508771929824561,69.24264068711928,0.8068771
6,57.0,8.51907589177983,0.4927363134528485,0.9047619047619048,27.31370849898476,0.7316432
7,170.0,14.712264360219255,0.9895486385965475,0.6772908366533864,86.97056274847715,0.8631775
8,100.0,11.283791670955125,0.9960267741846496,0.8695652173913043,70.48528137423857,0.90004915
9,16.0,4.51351666838205,0.8514055971008102,0.9411764705882353,12.207106781186548,0.7011166
10,89.0,10.645107772184812,0.9948787577238682,0.8725490196078431,62.48528137423857,0.9142306
11,99.0,11.227230955528665,0.9958831165066183,0.868421052631579,69.07106781186548,0.9022799
12,33.0,6.4820448144285745,0.9995398526410995,0.6875,31.0,0.8747553
13,177.0,15.012108426804138,0.9880326969989427,0.5959595959595959,94.59188309203678,0.8545861
14,74.0,9.706684619910241,0.9985285146875487,0.8131868131868132,71.62132034355965,0.8325407
15,537.0,26.148224328293928,0.8597375119997448,0.7306122448979592,118.32590180780453,0.8599567
16,69.0,9.373021315815206,0.9982681022000562,0.8117647058823529,66.41421356237309,0.8392201
17,30.0,6.180387232371033,0.9898219451991798,0.8333333333333334,27.621320343559642,0.94194126
18,221.0,16.774562271083887,0.6641680737734522,0.8911290322580645,59.48528137423857,0.73421764
19,17.0,4.652426491681278,0.998164612234735,0.7083333333333334,15.0,0.99828565
20,34.0,6.579524642479541,0.9926790594425825,0.8292682926829268,31.621320343559642,0.96363896
21,249.0,17.805522925178455,0.9993343960292052,0.8615916955017301,169.0710678118655,0.9247853
22,26.0,5.753627391751592,0.9859804644253694,0.8125,23.621320343559642,0.7930194
23,3844.0,69.95950835992178,0.9174471826020979,0.8752276867030966,288.5512985522207,0.9262026
24,29.0,6.076507779746499,0.9902751308747043,0.8285714285714286,26.82842712474619,0.7615361
25,173.0,14.841510746523857,0.9986514576403996,0.865,117.86396103067892,0.8886123
26,173.0,14.841510746523857,0.998668261477731,0.865,117.86396103067892,0.87773424
27,230.0,17.112717355495807,0.9976300974540848,0.8914728682170543,120.69238815542512,0.8504555
28,173.0,14.841510746523857,0.9986774814087848,0.8606965174129353,117.86396103067892,0.88301414
29,369.0,21.675455981530703,0.944234055554487,0.803921568627451,96.38477631085024,0.8589785
30,43.0,7.399277020331919,0.9955569007101347,0.8269230769230769,40.828427124746185,0.7717224
31,44.0,7.48482063701911,0.9957594319145581,0.8148148148148148,41.62132034355964,0.74416727
32,173.0,14.841510746523857,0.9986644734355022,0.8606965174129353,117.86396103067892,0.86135864
33,44.0,7.48482063701911,0.9956724995099537,0.8301886792452831,41.62132034355964,0.7785238
34,173.0,14.841510746523857,0.9986469238822578,0.8606965174129353,117.86396103067892,0.8696427
35,4386.0,74.72903480715125,0.7533783967581047,0.7895589558955896,329.07821048680194,0.88251483
36,254.0,17.983404693292407,0.9980466399487248,0.8912280701754386,132.69238815542514,0.9325704
37,2262.0,53.66626361310184,0.8974451227210105,0.8815276695245519,215.37972567696687,0.9056552
38,322.0,20.248040236149336,0.9970564851230601,0.9121813031161473,137.52081528017132,0.9049402
39,77.0,9.901487006738307,0.9929171330037514,0.8651685393258427,53.656854249492376,0.7701986
40,258.0,18.12445316531431,0.9981070687574006,0.8896551724137931,134.69238815542514,0.9099234
41,66.0,9.166995688475081,0.9980763251396647,0.8148148148148148,63.62132034355964,0.88921887
42,69.0,9.373021315815206,0.9913365071122473,0.8734177215189873,49.07106781186547,0.8042452
43,1135.0,38.014824519842385,0.8256561513257289,0.8832684824902723,153.19595949289334,0.84545153
44,122.0,12.463355264843006,0.9965268248951159,0.7484662576687117,81.6923881554251,0.8666019
45,1235.0,39.65414023463283,0.7621147430300791,0.8834048640915594,159.15432893255073,0.84482247
46,326.0,20.37341629633241,0.9890554221242976,0.9287749287749287,104.72792206135786,0.75449055
47,916.0,34.15095054280933,0.7135991615926003,0.8919182083739046,133.698484809835,0.7677107
48,2229.0,53.27336055867583,0.9093121581298237,0.9661898569570871,208.5685424949238,0.8567671
49,2503.0,56.45279958046467,0.5761969109390176,0.8424772803769774,225.2253967444162,0.8794739
50,3463.0,66.40202213350034,0.8846621516616053,0.7390098164746052,303.19595949289334,0.89645153
51,702.0,29.896724911001275,0.9975762872875632,0.9335106382978723,214.97056274847716,0.9084923
52,749.0,30.881327999401787,0.9978750585186923,0.9292803970223326,228.72792206135787,0.8740912
53,3584.0,67.55213193031604,0.9307344428413968,0.8178913738019169,312.2670273047588,0.8870033
54,151.0,13.86575534383214,0.9625637925419901,0.9096385542168675,60.72792206135786,0.82602113
55,88.0,10.585134856802455,0.9989375578434911,0.8148148148148148,85.62132034355965,0.8759587
56,26.0,5.753627391751592,0.9871897123696988,0.8387096774193549,23.621320343559642,0.9371976
57,16.0,4.51351666838205,0.9648119846208285,0.8888888888888888,13.621320343559642,0.8174313
58,328.0,20.435815879801165,0.675855860945255,0.9318181818181818,73.11269837220809,0.8137922
59,175.0,14.927053303604616,0.995601524631254,0.9067357512953368,93.31370849898475,0.91010636
60,87.0,10.524820207108489,0.9989532727403173,0.8130841121495327,84.82842712474618,0.8978177
61,92.0,10.823032759612019,0.7457769303287497,0.8598130841121495,40.14213562373095,0.7332917
62,131.0,12.914889870235298,0.9977000599728637,0.8675496688741722,89.86396103067892,0.8834186
63,175.0,14.927053303604616,0.9986566748508147,0.8620689655172413,117.86396103067892,0.94117326
64,88.0,10.585134856802455,0.9989755610615925,0.8073394495412844,85.62132034355965,0.87561697
65,94.0,10.940041919714261,0.9868825256791539,0.9791666666666666,51.242640687119284,0.79630476
66,89.0,10.645107772184812,0.9989901528357824,0.8165137614678899,86.82842712474618,0.8782479
67,117.0,12.205286835384658,0.9994015981637612,0.8068965517241379,114.82842712474618,0.95869285
68,89.0,10.645107772184812,0.9989653229669464,0.8090909090909091,86.82842712474618,0.8821366
69,2258.0,53.618792340111476,0.9579905242795158,0.8605182926829268,255.71067811865476,0.8959868
70,88.0,10.585134856802455,0.998938052111811,0.8073394495412844,84.62132034355965,0.8887627
71,54.0,8.291859587312052,0.997218021617316,0.8181818181818182,51.62132034355964,0.85232574
72,930.0,34.41093978088511,0.9276208034521619,0.8823529411764706,144.64570696119915,0.89268905
73,55.0,8.368283871884005,0.9973639567634849,0.8208955223880597,52.828427124746185,0.8773713
74,1067.0,36.85846706297507,0.9565974989297078,0.6265413975337639,208.66904755831214,0.9080201
75,511.0,25.507359866510456,0.9976160367411626,1.0,179.31370849898477,0.94720817
76,425.0,23.26213245840639,0.6934152216033371,0.8126195028680688,96.04163056034261,0.7954666
77,1332.0,41.18197510546619,0.8865221532477819,0.8126906650396584,170.40306627407986,0.8502232
78,67.0,9.23618154310838,0.8010485526809582,0.8701298701298701,30.9350288425444,0.7445096
79,975.0,35.233628199729644,0.9608426100620665,0.7190265486725663,183.01219330881975,0.85679173
80,130.0,12.865501965161373,0.6831309457802893,0.9285714285714286,42.384776310850235,0.8237334
81,38.0,6.955796338302048,0.9697916337201096,0.8636363636363636,27.035533905932738,0.8329071
82,185.0,15.347615963921077,0.5743751024427152,0.8644859813084113,56.31370849898476,0.72664446
